date,portfolio,ew_bh,tecl_only
2010-06-01,98809.07834139044,95986.99289122457,99029.70319660795
2010-06-02,101184.05708178435,102927.18364180424,101248.01426302014
2010-06-03,101960.582057136,105512.66035803755,102265.16874478567
2010-06-04,98513.50307249484,95124.28141185177,98983.98838843872
2010-06-07,97029.1948681592,89885.30895938429,97550.82915233317
2010-06-08,97376.7956620991,90494.75548715764,97735.97412541858
2010-06-09,96763.1277104028,88616.9070678679,97227.39688453583
2010-06-10,99407.19510535867,95916.73535575972,99583.99524565994
2010-06-11,100175.99721829529,98323.09346198448,100462.86243271352
2010-06-14,100054.87449509895,98162.87006478745,100277.71745962813
2010-06-15,102583.96013822287,105454.45366981247,102912.03328038035
2010-06-16,102802.83479997897,106526.84710741424,103188.60786980421
2010-06-17,103644.60640476411,107400.79052074897,104368.77897703422
2010-06-18,103708.83138884879,107620.93014063998,104364.17174500453
2010-06-21,103066.89878707007,105272.31137764914,103616.64834818403
2010-06-22,101941.16140764186,101794.21391001524,102728.60437445737
2010-06-23,101634.26503942156,100593.47321843539,102540.85966924667
2010-06-24,99877.70758213429,95507.41092233537,100484.88237598847
2010-06-25,99916.71198415366,95608.73325893967,100367.39795923086
2010-06-28,99765.52484948045,95014.45444089864,100578.1788245901
2010-06-29,96218.04358187792,84971.83512631708,96839.41003248021
2010-06-30,94928.89596626261,81189.24661194917,95343.21143083178
2010-07-01,94574.99509967581,80343.36594352139,94970.02563642526
2010-07-02,94268.02784875594,79609.98643275189,94829.5050595191
2010-07-06,94881.0025159949,80802.09109184174,95764.77316155027
2010-07-07,97904.94021154137,88854.47281566425,98849.31500544131
2010-07-08,98606.95576739794,90607.18543384183,99456.31782535564
2010-07-09,99333.63797852547,92664.88521299112,99971.17600467577
2010-07-12,99606.41942889497,93720.1202562138,100437.65824768394
2010-07-13,101016.96620028533,97628.98091206391,101886.63272102783
2010-07-14,101386.56018616768,99022.02304474219,102494.78734894957
2010-07-15,101533.9985769052,99296.56389627044,102821.900823059
2010-07-16,98701.30211079778,90986.84429274616,99889.39763614841
2010-07-19,99497.5956574037,93314.09322205404,100858.068170395
2010-07-20,100479.15623917665,95927.43769090864,101513.44692662127
2010-07-21,97287.57859834554,92203.68315393414,97238.25243081598
2010-07-22,104079.00898696808,98643.69148751584,104547.93812469285
2010-07-23,106686.71715418927,101112.78999010388,106685.53537259549
2010-07-26,109329.4319155611,103618.28072502287,108778.2879229897
2010-07-27,109236.55879596676,103530.77579378177,108987.56317802912
2010-07-28,106658.45140674943,101081.97760569426,105654.10732990122
2010-07-29,104307.43500042579,98853.78562907263,102784.0466893606
2010-07-30,104137.08359600566,98681.20200778198,101349.01636909033
2010-08-02,110452.17280791087,104672.74665704776,107881.39397282078
2010-08-03,109099.07991924963,103388.99271061225,106580.8977450758
2010-08-04,111842.30730204555,105984.7903640497,109211.78666557136
2010-08-05,111008.8965977219,105191.37416628483,107687.06695028416
2010-08-06,109951.26587837434,104184.38388715475,106476.26011755608
2010-08-09,111612.35625412897,105754.42238802134,107582.42932276445
2010-08-10,108587.47676681468,102878.04581933995,103142.80426942819
2010-08-11,99748.78210067248,94506.06540533947,95070.75871790774
2010-08-12,96460.29602215844,91379.91725323565,89808.98087691661
2010-08-13,94922.23766143071,89925.94498611758,88299.20939413222
2010-08-16,95442.11115337798,90419.55245548188,89240.9480418096
2010-08-17,98907.60324607205,93700.3479141102,92170.8016123615
2010-08-18,99985.22539220401,94724.79057796413,93770.26249016277
2010-08-19,95887.20513211271,90840.1000074966,90511.54780454896
2010-08-20,95436.23793842885,90413.2719322493,90466.7031070405
2010-08-23,93237.37255096846,88331.82739885515,87776.0212565337
2010-08-24,88513.31028798287,83861.972110174,83366.29266820307
2010-08-25,90118.22865133571,85372.15141200114,84472.46187341145
2010-08-26,87658.9220004994,83046.19853231299,81976.10704544121
2010-08-27,91045.23937999878,86257.75416327242,84876.06415098747
2010-08-30,87657.49865109197,83044.83485692352,81841.57295291587
2010-08-31,87138.26751128635,82548.7801653477,80272.00854012024
2010-09-01,94279.91399290609,89311.98063983672,86535.31795879999
2010-09-02,97149.25399938389,92026.526974812,88941.98339175331
2010-09-03,101751.38357989563,96384.07604695461,93605.83193263182
2010-09-07,99049.08679276732,93823.37223519736,91513.0793822376
2010-09-08,101290.98442835986,95933.77893834413,92679.04151745723
2010-09-09,102389.52465311675,96971.13164717366,93247.07435256422
2010-09-10,103252.04842539725,97783.3048720908,93082.64379503325
2010-09-13,108123.03655017448,102404.08468508063,99151.6261911764
2010-09-14,109096.56802905619,103324.57236043873,100751.08706897768
2010-09-15,110622.63462333338,104767.1519960014,102141.27269173953
2010-09-16,111760.7426716206,105843.64570301725,103979.90528958585
2010-09-17,112602.5965869034,106638.72706864949,105086.07449479419
2010-09-20,117909.54841985874,111658.04220485225,109555.59601313609
2010-09-21,117513.41993260544,111283.79080348506,109480.85485062202
