date,portfolio,strat_only,gld_only,tecl_bh
2009-04-14,99097.52737007412,98924.06962785115,99419.66317705964,97560.1714474118
2009-04-15,98955.19987694669,98625.45018007203,99567.59217114246,95647.87339268053
2009-04-16,100186.08453850361,101554.6218487395,97644.51524806554,104747.77448071218
2009-04-17,99835.03359240829,101376.05042016807,96973.14519799726,104681.83316848008
2009-04-20,98425.97710454233,98148.2593037215,98941.73873463814,94559.84174085066
2009-04-21,99489.64090643085,99821.42857142858,98873.4638142922,99538.41081437524
2009-04-22,99995.9428468702,100300.12004801922,99431.0423304506,100296.73590504454
2009-04-23,100871.66084003015,100777.31092436977,101046.88211197086,101747.44477415101
2009-04-24,102170.5425684156,102211.88475390157,102093.76422394172,107978.89878008573
2009-04-27,101577.59653702173,101734.69387755104,101285.8443331816,106495.21925486319
2009-04-28,101036.76026623667,101674.66986794719,99852.07100591714,104747.77448071218
2009-04-29,102006.12742821299,102810.6242496999,100512.06190259443,110880.31651829873
2009-04-30,101778.06347846377,103109.24369747902,99305.87164314973,112331.02538740523
2009-05-01,102544.07434343788,104483.79351740699,98941.73873463813,114441.14737883284
2009-05-04,104460.81354253126,106397.05882352944,100864.92944924896,120870.42532146389
2009-05-05,103877.25199319601,105738.29531812728,100421.02867546651,119221.89251566105
2009-05-06,104780.201441068,106337.03481392558,101888.93946290395,118727.33267392019
2009-05-07,102098.04247142645,102271.90876350542,101775.14792899405,107385.42696999668
2009-05-08,102235.07725803113,102151.86074429774,102389.6222121074,106791.95515990767
2009-05-11,102314.65688232507,102451.98079231693,102059.62676376874,107517.30959446091
2009-05-12,102366.74488867007,101913.26530612246,103208.92125625849,105473.1289152654
2009-05-13,100851.22699512212,99342.73709483792,103652.70823850701,97428.28882294756
2009-05-14,101526.6855148978,100418.6674669868,103584.43331816107,101252.88493241016
2009-05-15,101733.78610661378,100418.6674669868,104176.14929449241,101681.50346191891
2009-05-18,103047.73452394159,103169.26770708284,102822.03004096489,109759.31421035281
2009-05-19,103674.90202726517,103766.50660264106,103504.77924442413,112627.76129244975
2009-05-20,103489.3160609715,102690.57623049221,104972.69003186157,109363.66633696016
2009-05-21,102960.95741437221,100897.35894357743,106793.35457441959,104780.7451368283
2009-05-22,103313.5567722765,101256.0024009604,107134.72917614921,103395.97757995389
2009-05-26,104868.09027206694,103886.55462184874,106690.9421939007,113616.8809759315
2009-05-27,104083.31193196439,102869.14765906363,106338.18843878007,111341.90570392359
2009-05-28,105369.43411866337,104363.74549819929,107237.14155666808,116155.62149686787
2009-05-29,106888.4143894244,105499.699879952,109467.45562130169,119749.42301351806
2009-06-01,108644.20450701899,108488.8955582233,108932.63541192528,131981.53643257509
2009-06-02,107732.44343797932,106700.17032543721,109649.5220755575,129805.47312891534
2009-06-03,105687.44741761425,104748.83370785238,107430.58716431489,127431.58588855928
2009-06-04,107362.8664128638,106211.24436053485,109501.59308147467,132575.00824266413
2009-06-05,107043.51874309863,107264.00383641169,106634.04642694576,135179.6900758326
2009-06-08,106564.80340893756,106619.42725355265,106463.35912608096,134223.54104846696
2009-06-09,106976.78505188975,107087.80978187165,106770.59626763764,138311.902406858
2009-06-10,107178.65567090656,107379.99825565057,106804.73372781058,137916.2545334653
2009-06-11,107381.2056768407,107789.64943245621,106622.66727355478,139366.96340257183
2009-06-12,106581.92950479701,107497.46095867729,104881.65680473366,138806.46224859884
2009-06-15,105433.3111725009,106385.97013128707,103664.08739189799,132443.1256181999
2009-06-16,104889.65941123283,105041.0221816313,104608.55712334998,128058.02835476436
2009-06-17,105436.77798199296,105625.39912918916,105086.48156577142,130992.41674909339
2009-06-18,104838.56365022113,105158.48488465798,104244.42421483835,128816.35344543365
2009-06-19,105797.73792162896,106456.44775310307,104574.41966317702,133959.7757995385
2009-06-22,103537.24380399028,103812.06865121436,103026.8548020027,122683.8114078471
2009-06-23,103726.76192257411,103870.80000272773,103459.2626308602,121661.72106824935
2009-06-24,104893.184064531,105340.55207434938,104062.35776058257,127365.64457632715
2009-06-25,106228.2564221754,106867.56721369656,105040.96495220752,134421.3649851633
2009-06-26,106105.76487935067,106691.3731591565,105018.20664542554,134223.54104846696
2009-06-29,106731.52947836943,107807.2688379102,104733.72781065085,136564.457632707
2009-06-30,105854.5616625292,106985.02991672329,103755.1206190259,134882.9541707881
2009-07-01,106641.87183650694,107454.88072883009,105131.99817933538,136861.19353775153
2009-07-02,104437.59491981051,104751.77027542803,103834.77469276279,128288.82294757677
2009-07-06,104050.20701031676,104458.11351786127,103277.1961766044,125519.287833828
2009-07-07,102362.9996652253,101873.93405127375,103220.30040964944,116287.50412133211
2009-07-08,101819.1403101223,101932.6654027871,101581.70232134723,116848.00527530505
2009-07-09,102332.84991828585,102578.71026943397,101854.80200273094,118496.5380811079
2009-07-10,102626.33502461152,102989.82973002746,101934.45607646785,120178.04154302677
2009-07-13,104123.97208997227,104929.43261375593,102628.5844333181,127431.58588855928
2009-07-14,104450.21910116167,105046.89531678263,103334.09194355934,128783.3827893176
2009-07-15,107566.32338978158,108981.89586817725,104961.31087847058,145136.82822288174
2009-07-16,108485.169725626,110569.11064282562,104665.4528903049,151961.7540389055
2009-07-17,110647.00259327589,113951.67618863564,104608.55712334998,156610.61655126952
2009-07-20,111849.87788718521,114970.90854389076,106144.7428311333,160995.71381470506
2009-07-21,112214.71310169327,115630.41183258526,105974.05553026848,163864.16089680197
2009-07-22,112766.35070588927,116291.41399239044,106326.80928538911,166699.6373227829
2009-07-23,114163.31268025715,118569.69808060779,106121.98452435133,174975.2720079131
