entry_date,entry_px,exit_date,exit_px,ret_pct,days
2010-10-08,0.7757,2010-11-18,0.8837,13.922908340853436,41
2011-12-08,0.8737,2011-12-19,0.7703,-11.834725878447983,11
2012-09-07,1.3704,2012-10-01,1.3382,-2.349678925861065,24
2013-03-04,1.1879,2013-03-28,1.2631,6.330499200269379,24
2015-07-20,3.643,2015-08-03,3.3256,-8.71259950590172,14
2015-11-17,3.3475,2015-12-11,3.2729,-2.228528752800607,24
2016-04-19,3.5475,2016-06-15,3.3247,-6.280479210711764,57
2018-06-05,13.4925,2018-06-25,12.1465,-9.975912544005928,20
2019-03-19,12.5061,2019-05-09,13.5772,8.564620465212979,51
2020-07-07,22.314,2020-07-27,22.5519,1.0661468136595742,20
2023-02-03,29.5608,2023-02-23,27.2026,-7.9774566317555635,20
2023-12-06,53.5899,2023-12-08,56.9148,6.204340743311709,2
2024-11-20,84.8334,2024-11-26,88.7872,4.660664313819796,6
2025-07-02,88.3769,2025-08-25,94.7896,7.256081623139066,54
2026-05-06,176.03,2026-06-12,215.49,22.41663352837584,37
