entry_date,entry_px,exit_date,exit_px,ret_pct,days
2009-06-02,0.3937,2009-06-04,0.4021,2.1336042672085442,2
2009-07-17,0.475,2009-07-20,0.4883,2.8000000000000025,3
2009-08-24,0.5517,2009-11-10,0.7134,29.309407286568813,78
2009-11-13,0.7374,2010-01-29,0.6291,-14.686737184703013,77
2010-06-17,0.7517,2010-06-18,0.7524,0.09312225621922465,1
2010-07-21,0.6505,2011-04-12,1.0174,56.40276710222907,265
2011-04-27,1.1599,2011-08-05,0.823,-29.045607379946546,100
2011-09-14,0.7873,2011-09-15,0.8262,4.940937380922139,1
2011-10-14,0.9601,2011-10-28,1.0042,4.593271534215182,14
2011-12-13,0.8446,2012-05-25,1.0488,24.17712526639828,164
2012-06-20,1.147,2012-11-13,1.0008,-12.746294681778558,146
2013-01-03,1.1849,2014-10-22,2.5442,114.7185416490843,657
2014-10-31,2.9682,2015-07-28,3.3256,12.040967589785057,270
2015-09-17,2.8573,2016-01-19,2.5408,-11.076890771007598,124
2016-02-25,2.8809,2016-06-28,3.0619,6.282758860078452,124
2016-07-12,3.6294,2018-02-06,10.8128,197.92252162891936,574
2018-02-28,11.9397,2018-03-27,10.0555,-15.780966020921793,27
2018-05-09,12.0225,2018-10-11,11.4377,-4.864212934081936,155
2019-01-16,8.3476,2019-01-17,8.5174,2.0341175906847475,1
2019-06-13,13.7017,2019-08-09,14.3884,5.011786858565004,57
2019-08-30,14.718,2019-10-09,14.8506,0.9009376273950265,40
2020-04-09,12.3051,2020-04-13,12.4107,0.8581807543213804,4
2020-08-03,26.6438,2020-08-04,26.8835,0.8996464468281617,1
2020-10-06,27.2105,2020-10-07,28.6654,5.346833024016462,1
2020-11-16,31.3033,2020-11-17,30.7697,-1.7046126127277295,1
2021-01-21,40.0044,2021-03-02,38.6553,-3.372379038305784,40
2021-03-29,37.5102,2021-05-17,39.3571,4.923727412810397,49
2021-06-01,41.6749,2021-12-08,79.8038,91.4912813228106,190
2022-02-15,58.8563,2022-02-16,58.6247,-0.39350078071506145,1
2022-03-25,56.1233,2022-03-28,58.2633,3.8130330896436915,3
2022-06-03,35.6862,2022-06-06,35.6677,-0.05184076757961398,3
2022-07-11,28.3859,2022-07-28,35.575,25.326306370416308,17
2022-10-27,21.9657,2022-10-28,24.7728,12.779469809748845,1
2023-01-17,23.7396,2023-02-09,29.0409,22.33104180356873,23
2023-03-17,29.7372,2023-09-21,40.4206,35.92604549184186,188
2023-10-13,43.3078,2024-05-03,66.966,54.62803467273791,203
2024-05-10,69.7485,2024-07-18,87.3197,25.192226356122326,69
2024-08-21,84.2726,2024-08-29,75.0471,-10.947211786511868,8
2024-11-12,90.9464,2024-11-13,90.4136,-0.5858395714398723,1
2024-12-06,95.1992,2025-01-28,83.5673,-12.218485029285963,53
2025-04-30,51.7597,2025-05-01,53.964,4.258718655633631,1
2025-08-29,95.2033,2025-10-14,114.9586,20.75064624860694,46
2025-12-10,130.7037,2026-01-14,118.3965,-9.416106812584491,35
2026-04-13,112.67,2026-05-19,184.44,63.69929883731249,36
