entry_date,entry_px,exit_date,exit_px,ret_pct,days
2009-02-09,0.2855,2009-02-23,0.1765,-38.17863397548161,14
2009-03-19,0.2297,2009-05-20,0.3317,44.40574662603396,62
2009-06-02,0.3937,2009-06-26,0.4071,3.4036068072136105,24
2009-07-17,0.475,2009-08-19,0.5148,8.378947368421063,33
2009-08-24,0.5517,2009-10-07,0.6237,13.050570962479613,44
2009-10-13,0.6618,2009-11-03,0.6118,-7.555152614082806,21
2009-11-13,0.7374,2009-12-09,0.7428,0.7323026851098424,26
2009-12-15,0.7539,2010-01-22,0.7124,-5.504708847327233,38
2010-02-22,0.729,2010-05-06,0.7585,4.046639231824423,73
2010-06-17,0.7517,2010-06-30,0.5577,-25.808168152188383,13
2010-07-21,0.6505,2010-08-13,0.5907,-9.192928516525745,23
2010-09-10,0.6227,2010-11-22,0.9131,46.63561907820779,73
2010-12-08,0.9845,2011-03-01,1.1213,13.895378364652089,83
2011-04-05,1.0474,2011-04-18,0.9917,-5.31793011265993,13
2011-04-27,1.1599,2011-05-19,1.09,-6.026381584619356,22
2011-07-05,1.0565,2011-08-03,0.9803,-7.212494084240417,29
2011-09-14,0.7873,2011-10-04,0.6907,-12.269782801981455,20
2011-10-14,0.9601,2011-11-18,0.85,-11.467555462972602,35
2011-12-13,0.8446,2011-12-23,0.84,-0.5446365143263132,10
2012-01-09,0.898,2012-04-13,1.3875,54.51002227171491,95
2012-06-20,1.147,2012-07-13,1.0453,-8.86660854402791,23
2012-07-20,1.0974,2012-07-26,1.064,-3.0435574995443693,6
2012-08-01,1.139,2012-10-04,1.3766,20.860403863037757,64
2012-12-03,1.112,2012-12-31,1.1079,-0.3687050359712174,28
2013-01-03,1.1849,2013-01-30,1.1501,-2.9369567052072054,27
2013-02-06,1.1836,2013-02-27,1.1815,-0.1774248056775951,21
2013-03-08,1.2516,2013-04-04,1.2243,-2.181208053691286,27
2013-04-15,1.2113,2013-04-16,1.255,3.6076942128291822,1
2013-05-01,1.2872,2013-06-07,1.4359,11.55220633934122,37
2013-07-12,1.4721,2013-08-23,1.4837,0.7879899463351769,42
2013-09-13,1.5048,2013-10-08,1.4171,-5.8280170122275265,25
2013-10-21,1.6887,2014-01-29,1.8258,8.118671167170021,100
2014-02-19,2.0877,2014-03-31,2.1725,4.06188628634383,40
2014-04-02,2.2539,2014-04-11,1.9704,-12.578197790496471,9
2014-05-02,2.165,2014-08-07,2.5513,17.842956120092367,97
2014-08-22,2.8937,2014-09-26,2.8477,-1.5896602965062012,35
2014-10-31,2.9682,2014-12-15,2.9216,-1.5699750690654213,45
2014-12-30,3.2818,2015-01-14,2.966,-9.622767993174474,15
2015-02-10,3.1879,2015-03-12,3.1951,0.22585401047712228,30
2015-04-21,3.298,2015-06-10,3.473,5.306246209824139,50
